"Design Number","Vendor Name","Barcodes List","Purchase Invoices List","Sales Invoices List","Exists in Master","Purchase Quantity","Purchase Invoices Count","Purchase Return Quantity","Sales Quantity","Sales Invoices Count","Sales Return Quantity","Available Stock","Total Printed Stock","Total Barcodes Count","Safety Category","Action Recommended"
"JS440066","JDS DESIGN STUDIO PRIVATE LIMITED","00000982","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"KAN1273","KANCHANA NEXT","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"KT-18-A","ESSENCE COLLECTION PVT LTD","00008855","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"KT-18-A-B","ESSENCE COLLECTION PVT LTD","00008856, 00008857","","",TRUE,0,0,0,0,0,0,1,1,2,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"L-22D","VAANII","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"M-748 ","Manvi &Manik","00000946","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"M-772 ","Manvi &Manik","00000949","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"NB-10402","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"NB-10486","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"NB-10490","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"NB-10504","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"NB-10564","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"NB-10568","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"NB10493","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"NB10504","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"NB10510","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
